Species	PRI_240116_PS_FTMSMS-_1.mzXML	PRI_240116_PS_FTMSMS-_2.mzXML	PRI_240116_PS_FTMSMS-_3.mzXML	PRI_240116_PS_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PS_FTMSMS-_1.mzXML	FAI.FC_240116_PS_FTMSMS-_2.mzXML	FAI.FC_240116_PS_FTMSMS-_3.mzXML	FAI.FC_240116_PS_FTMSMS-_4.mzXML	FAI.FC_Group-1
PS 41:3:0	0.078275315	0.101036325	0.11582507	0.09739695	[0.078275315..0.11582507]	Sum	[0.8197842..0.8197842]	[0.8062736..0.8062736]	[0.86050737..0.86050737]	[0.83418596..0.83418596]	[0.8062736..0.86050737]
						PS 18:1-23:2	[0.5307844..0.5307844]	[0.52318656..0.52318656]	[0.54870975..0.54870975]	[0.53460443..0.53460443]	[0.52318656..0.54870975]
						PS 18:0-23:3	[0.275812..0.275812]	[0.27553383..0.27553383]	[0.29830647..0.29830647]	[0.2839055..0.2839055]	[0.27553383..0.29830647]
						PS 19:0-22:3	[0.013187805..0.013187805]	[0.007553235..0.007553235]	[0.013491119..0.013491119]	[0.015676092..0.015676092]	[0.007553235..0.015676092]
PS 41:4:0	0.07077125	0.07984325	0.09161419	0.08950743	[0.07077125..0.09161419]	Sum	[0.47094014..0.47094014]	[0.50508744..0.50508744]	[0.27411678..0.27411678]	[0.27253002..0.27253002]	[0.27253002..0.50508744]
						PS 18:1-23:3	[0.13662162..0.13662162]	[0.1415117..0.1415117]	[0.08368598..0.08368598]	[0.0789257..0.0789257]	[0.0789257..0.1415117]
						PS 18:0-23:4 (0z-10z)	[0.29776245..0.29776245]	[0.32148942..0.32148942]	[0.15155144..0.15155144]	[0.15107152..0.15107152]	[0.15107152..0.32148942]
						PS 19:1-22:3	[0.0036463575..0.0036463575]	[0.0050603813..0.0050603813]	[0.00658536..0.00658536]	[0.006574814..0.006574814]	[0.0036463575..0.00658536]
						PS 19:0-22:4 (0z-10z)	[0.024291947..0.024291947]	[0.026858173..0.026858173]	[0.02333549..0.02333549]	[0.025829973..0.025829973]	[0.02333549..0.026858173]
						PS 20:4 (0z-8z)-21:0	[0.008617761..0.008617761]	[0.010167797..0.010167797]	[0.008958478..0.008958478]	[0.010127997..0.010127997]	[0.008617761..0.010167797]
PS 41:5:0	0.09468614	0.07812895	0.082430325	0.06885845	[0.06885845..0.09468614]	Sum	[0.019934507..0.019934507]	[0.022995437..0.022995437]	[0.017638387..0.017638387]	[0.020465296..0.020465296]	[0.017638387..0.022995437]
						PS 19:0-22:5 (0z-7z)	[0.019934507..0.019934507]	[0.022995437..0.022995437]	[0.017638387..0.017638387]	[0.020465296..0.020465296]	[0.017638387..0.022995437]
PS 41:6:0	0.09096768	0.11085139	0.12595053	0.11295359	[0.09096768..0.12595053]	Sum	[0.024634099..0.024634099]	[0.03536383..0.03536383]	[0.026667165..0.026667165]	[0.025461163..0.025461163]	[0.024634099..0.03536383]
						PS 19:0-22:6	[0.024634099..0.024634099]	[0.03536383..0.03536383]	[0.026667165..0.026667165]	[0.025461163..0.025461163]	[0.024634099..0.03536383]
PS 42:2:0	1.58031	1.5842783	1.5354255	1.6093878	[1.5354255..1.6093878]	Sum	[2.4766722..2.4766722]	[2.5219126..2.5219126]	[2.260925..2.260925]	[2.3332038..2.3332038]	[2.260925..2.5219126]
						PS 18:1-24:1	[1.9819427..1.9819427]	[2.023869..2.023869]	[1.805118..1.805118]	[1.847068..1.847068]	[1.805118..2.023869]
						PS 18:0-24:2	[0.45655006..0.45655006]	[0.46015707..0.46015707]	[0.41320577..0.41320577]	[0.44121125..0.44121125]	[0.41320577..0.46015707]
						PS 20:1-22:1	[0.038179316..0.038179316]	[0.037886616..0.037886616]	[0.042601164..0.042601164]	[0.044924445..0.044924445]	[0.037886616..0.044924445]
PS 42:5:0	1.1540129	1.193148	1.2080388	1.1673615	[1.1540129..1.2080388]	Sum	[1.4229536..1.4229536]	[1.5313858..1.5313858]	[1.4384799..1.4384799]	[1.4198031..1.4198031]	[1.4198031..1.5313858]
						PS 18:1-24:4	[0.54146415..0.54146415]	[0.5784467..0.5784467]	[0.52894735..0.52894735]	[0.53078884..0.53078884]	[0.52894735..0.5784467]
						PS 18:0-24:5 (0z-9z)	[0.8814895..0.8814895]	[0.95293915..0.95293915]	[0.9095326..0.9095326]	[0.88901424..0.88901424]	[0.8814895..0.95293915]
PS 42:6:0	0.3980243	0.3956636	0.38680017	0.4068809	[0.38680017..0.4068809]	Sum	[1.4077816..1.4077816]	[1.4166495..1.4166495]	[1.3085525..1.3085525]	[1.3082798..1.3082798]	[1.3082798..1.4166495]
						PS 18:1-24:5 (0z-9z)	[0.43381166..0.43381166]	[0.4494964..0.4494964]	[0.40407932..0.40407932]	[0.39965078..0.39965078]	[0.39965078..0.4494964]
						PS 18:0-24:6	[0.97397..0.97397]	[0.9671531..0.9671531]	[0.9044731..0.9044731]	[0.9086289..0.9086289]	[0.9044731..0.97397]
